TIDM,Issuer Name,Instrument Name,ISIN,MiFIR Identifier Code,ICB Industry,ICB Super-Sector Name,Start Date,Country of Incorporation,Trading Currency,Security Mkt Cap (in �m),LSE Market,FCA Listing Category,Market Segment Code,Market Sector Code
SPA,1SPATIAL PLC,ORD 10P,GB00BFZ45C84,SHRS,Technology,Technology,21/08/2018,United Kingdom,GBX,�40.88,AIM,,ASX1,AIMP
III,3I GROUP PLC,ORD 73 19/22P,GB00B1YW4409,SHRS,Financials,Financial Services ,16/07/2007,United Kingdom,GBX,"�12,953.26",MAIN MARKET,Premium Equity Closed Ended Investment Funds,SET1,FS10
3IN,3I INFRASTRUCTURE PLC,ORD NPV,JE00BF5FX167,SHRS,Financials,Financial Services ,15/03/2018,Jersey,GBX,"�2,852.59",MAIN MARKET,Premium Equity Closed Ended Investment Funds,STMM,F25F
4BB,4BASEBIO PLC,ORD EUR1.00,GB00BMCLYF79,SHRS,Health Care ,Health Care  ,29/07/2021,United Kingdom,GBX,�84.37,AIM,,ASQ1,AMQ1
DDDD,4D PHARMA PLC,ORD 0.25P,GB00BJL5BR07,SHRS,Health Care ,Health Care  ,18/02/2014,United Kingdom,GBX,�167.68,AIM,,AMSM,ASM6
FOUR,4IMPRINT GROUP PLC,ORD 38 6/13P,GB0006640972,SHRS,Consumer Discretionary,Media,18/12/2006,United Kingdom,GBX,�800.44,MAIN MARKET,Premium Equity Commercial Companies,STMM,F25T
SIXH,600 GROUP PLC,ORD 1P,GB0008121641,SHRS,Basic Materials,Basic Resources,16/04/1996,United Kingdom,GBX,�15.27,AIM,,ASQ1,AMQ1
7DIG,7DIGITAL GROUP PLC,ORD 0.01P,GB00BMH46555,SHRS,Consumer Discretionary,Retail ,10/06/2014,United Kingdom,GBX,�21.10,AIM,,ASX1,AIMP
888,888 HOLDINGS PLC,ORD 0.5P,GI000A0F6407,SHRS,Consumer Discretionary,Travel and Leisure,11/10/2006,Gibraltar,GBX,"�1,526.07",MAIN MARKET,Premium Equity Commercial Companies,STMM,F25S
88E,88 ENERGY LIMITED,ORD NPV (DI),AU00000088E2,SHRS,Energy,Energy,06/03/2015,Australia,GBX,�224.03,AIM,,ASQ1,AMQ1
ABC,ABCAM PLC,ORD 0.2P,GB00B6774699,SHRS,Health Care ,Health Care  ,15/11/2010,United Kingdom,GBX,"�3,403.75",AIM,,AMSM,AE50
ABDP,AB DYNAMICS PLC,ORD 1P,GB00B9GQVG73,SHRS,Industrials,Industrial Goods and Services,22/05/2013,United Kingdom,GBX,�411.73,AIM,,ASQ1,AMQ1
AAIF,ABERDEEN ASIAN INCOME FUND LTD,ORD NPV,GB00B0P6J834,SHRS,Financials,Financial Services ,18/12/2006,Jersey,GBX,�402.84,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
ADIG,ABERDEEN DIVERSIFIED INCOME AND GROWTH TRUST PLC,ORD 25P,GB0001297562,SHRS,Financials,Financial Services ,31/10/2003,United Kingdom,GBX,�308.71,MAIN MARKET,Premium Equity Closed Ended Investment Funds,SSMM,SSC5
